"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/firebase/config.js", "JavaScript", 0, 2, 0, 0, 0, 2
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/package-lock.json", "JSON", 0, 0, -83, 0, 0, -83
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/src/App.jsx", "JavaScript JSX", 10, 0, 0, 0, -1, 9
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/src/views/Landing.jsx", "JavaScript JSX", 67, 0, 0, 107, 16, 190
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/src/views/OwnerRentForm.jsx", "JavaScript JSX", 491, 0, 0, 82, 48, 621
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/src/views/OwnerSaleForm.jsx", "JavaScript JSX", 455, 0, 0, 40, 51, 546
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/src/views/Register.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 2
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/src/views/RegisterOwner.jsx", "JavaScript JSX", -2, 0, 0, 5, 1, 4
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/src/views/ownerHouse.jsx", "JavaScript JSX", 56, 0, 0, 0, 3, 59
"/Users/rudreshpandey/Desktop/WebD/Working/Brick-chain/my-project/tailwind.config.js", "JavaScript", 0, -8, 0, 0, -2, -10
"Total", "-", 1079, -6, -83, 234, 116, 1340